"Driver Name","Phone Number","Email","Date/Time","Trip ID","Type","Base Fare","Distance","Time","Min Fare Supplement","Cancellation","Tip","Surge","Diamond Reward","Wait Time","Promotions","Total","Long Pickup Fee","Optional Insurance","Consecutive Trips Promotion","Share Adjustment","Quest Promotion","Fare Adjustment","Platinum Reward","Cleaning Repairs"
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 10:24 PM","9bce9679-2755-4c90-9689-f2de69c8f817","UberX","$0.30","$0.97","$0.68","$0.68",NA,NA,NA,"$0.10",NA,NA,"$2.73",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 9:48 PM","bb83ec2b-fd4c-457d-ae92-0a216624d85b","UberX","$0.30","$4.10","$2.09",NA,NA,"$3.00",NA,"$0.37",NA,NA,"$9.86",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 8:39 PM","42450298-7f34-4f5b-8283-3415fe7f15a0","UberX","$0.30","$4.40","$1.79",NA,NA,NA,NA,"$0.38",NA,NA,"$6.87",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 10:50 PM","6d5371a9-806f-4949-b506-edfffd985ff6","UberX","$0.30","$1.11","$0.60","$0.62",NA,NA,NA,"$0.11","$0.23",NA,"$2.97",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 8:08 PM","aaa4e703-53af-4b54-ae35-314684a1e330","UberX","$0.30","$1.10","$0.69","$0.54",NA,"$5.00",NA,"$0.11",NA,NA,"$7.74",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 7:32 PM","1d57a303-e648-473a-aebf-6905b2efc65f","UberX","$0.30","$0.85","$0.68","$0.80",NA,"$1.00",NA,"$0.09",NA,NA,"$3.72",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 11:15 PM","f715f828-e9ff-4f90-83ff-f255bd0e281a","UberX","$0.30","$4.40","$1.78",NA,NA,NA,"$2.00","$0.37",NA,NA,"$8.85",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 11:09 PM","d88bd12c-53de-461a-8853-8f1d639fa2fb","UberX","$0.30","$2.64","$1.54",NA,NA,NA,NA,"$0.25",NA,NA,"$4.73",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 11:44 PM","7b87cab8-b5b0-4909-aa96-afc33447cc85","UberX","$0.30","$4.30","$1.47",NA,NA,NA,NA,"$0.35",NA,NA,"$6.42",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 11:03 PM","4dd200de-bcbb-42a2-a392-4ef1c2feafa7","UberX","$0.30","$3.55","$1.93",NA,NA,NA,NA,"$0.33",NA,NA,"$6.11",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 8:57 PM","6ff6e8cb-fb9d-4b18-a81a-2ecdd13f2d5c","UberX","$0.30","$0.66","$0.52","$1.15",NA,NA,NA,"$0.07",NA,NA,"$2.70",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 8:19 PM","c8dacedd-a543-4935-970a-21ffb21d5239","UberX","$0.30","$3.35","$1.62",NA,NA,NA,NA,"$0.30",NA,NA,"$5.57",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Thursday, April 18, 2019 10:08 PM","3116d62b-2d11-42ef-944c-32e4fe61aaef","UberX","$0.30","$1.46","$0.87",NA,NA,NA,NA,"$0.14",NA,NA,"$2.77",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 10:26 PM","9ea887b2-0316-4d56-9956-f41520cfb81b","UberX","$0.30","$11.05","$3.16",NA,NA,"$2.00",NA,"$0.86",NA,NA,"$17.37",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 11:26 PM","b53ff955-924b-4ef5-a06f-8d76f6467758","UberX","$0.30","$1.49","$0.86",NA,NA,NA,NA,"$0.14",NA,NA,"$2.79",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Sunday, April 14, 2019 7:43 PM","ff9a0f9b-ce0e-49ac-93a5-8adbff9fa3d3","UberX",NA,NA,NA,NA,NA,"$1.00",NA,NA,NA,NA,"$1.00",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 7:11 PM","e02ab379-365d-41d3-8abb-c164492406c7","UberX","$0.30","$0.20","$0.48","$1.65",NA,NA,NA,"$0.04",NA,NA,"$2.67",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Friday, April 19, 2019 8:01 PM","b24c74af-709d-4595-8e62-b79ab3e61f8d","UberX","$0.30","$10.88","$3.26",NA,NA,NA,NA,"$0.85",NA,NA,"$15.29",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Wednesday, April 17, 2019 9:54 PM","05293747-a561-4d07-91f3-ba45b3e3cd46","UberX","$0.30","$1.51","$1.30",NA,NA,NA,NA,"$0.17",NA,NA,"$3.28",NA,NA,NA,NA,NA,NA,NA,NA
"John Doe",NA,"jd@jd.com","Saturday, April 20, 2019 12:02 AM","22ff972d-511e-4d6d-8aab-39ed83049fda","UberX","$0.30","$0.98","$0.70","$0.65",NA,NA,NA,"$0.10","$0.60",NA,"$3.33",NA,NA,NA,NA,NA,NA,NA,NA
